Time stamp;Contador;RSSI_DL;RSSI_UL;Perdas;PSR
23/01/2026 19:12:53;82;-52;-55;0;100.0
23/01/2026 19:12:54;83;-52;-55;0;100.0
23/01/2026 19:12:55;84;-52;-55;0;100.0
23/01/2026 19:12:56;85;-52;-55;0;100.0
23/01/2026 19:12:57;86;-52;-55;0;100.0
23/01/2026 19:12:58;87;-52;-55;0;100.0
23/01/2026 19:12:59;88;-52;-55;0;100.0
23/01/2026 19:13:00;89;-52;-55;0;100.0
23/01/2026 19:13:01;90;-52;-55;0;100.0
23/01/2026 19:13:02;91;-52;-55;0;100.0
23/01/2026 19:13:03;92;-52;-55;0;100.0
23/01/2026 19:13:04;93;-52;-55;0;100.0
23/01/2026 19:13:05;94;-52;-55;0;100.0
23/01/2026 19:13:06;95;-52;-55;0;100.0
23/01/2026 19:13:07;96;-52;-55;0;100.0
23/01/2026 19:13:08;97;-52;-55;0;100.0
23/01/2026 19:13:09;98;-52;-55;0;100.0
23/01/2026 19:13:10;99;-52;-55;0;100.0
23/01/2026 19:13:11;100;-52;-55;0;100.0
23/01/2026 19:13:18;1;-52;-55;0;100.0
23/01/2026 19:13:19;2;-52;-55;0;100.0
23/01/2026 19:13:20;3;-52;-55;0;100.0
23/01/2026 19:13:21;4;-52;-55;0;100.0
23/01/2026 19:13:22;5;-52;-55;0;100.0
23/01/2026 19:13:23;6;-52;-55;0;100.0
23/01/2026 19:13:24;7;-52;-55;0;100.0
23/01/2026 19:13:25;8;-52;-55;0;100.0
23/01/2026 19:13:26;9;-52;-55;0;100.0
23/01/2026 19:13:27;10;-52;-55;0;100.0
23/01/2026 19:13:28;11;-52;-55;0;100.0
23/01/2026 19:13:29;12;-52;-55;0;100.0
